[02:49:00] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:49:02] [ServerMain/INFO]: Loaded 7 recipes
[02:49:02] [ServerMain/INFO]: Loaded 1179 advancements
[02:49:03] [Server thread/INFO]: Starting minecraft server version 1.19.4
[02:49:03] [Server thread/INFO]: Loading properties
[02:49:03] [Server thread/INFO]: Default game type: SURVIVAL
[02:49:03] [Server thread/INFO]: Generating keypair
[02:49:03] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:49:03] [Server thread/INFO]: Using epoll channel type
[02:49:03] [Server thread/INFO]: Preparing level "world"
[02:49:11] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:49:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:49:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:49:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:49:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:49:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:49:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:49:14] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:49:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:49:15] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[02:49:16] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[02:49:16] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[02:49:17] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[02:49:17] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[02:49:18] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[02:49:18] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[02:49:19] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[02:49:19] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[02:49:20] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[02:49:20] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[02:49:21] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[02:49:21] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[02:49:22] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[02:49:22] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[02:49:23] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[02:49:23] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[02:49:24] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:49:24] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[02:49:25] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[02:49:25] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[02:49:26] [Worker-Main-1/INFO]: Preparing spawn area: 18%
[02:49:26] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[02:49:27] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[02:49:27] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[02:49:28] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[02:49:28] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[02:49:29] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[02:49:29] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[02:49:30] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[02:49:30] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[02:49:31] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[02:49:31] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[02:49:32] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[02:49:32] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[02:49:33] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[02:49:33] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[02:49:34] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[02:49:34] [Worker-Main-3/INFO]: Preparing spawn area: 37%
